feature,median_S1,median_S2,p_value,effect_size,direction,n_pairs
meanE_rms,1.991160603208405,8.17579314145768,0.0,1.0,↑,50
meanE_line_length,0.004401290294996428,0.010452776564028644,0.0,1.0,↑,50
meanE_spectral_entropy,0.9491862061621229,0.6881433318778474,0.0,-0.998,↓,50
meanE_low_power_rel,0.9999364944223154,0.9999789853849608,0.0,0.969,↑,50
meanE_mid_power_rel,6.246298345806967e-05,2.0741931437001638e-05,0.0,-0.969,↓,50
meanE_high_power_rel,9.615769118546787e-07,2.3813620655538382e-07,0.0,-1.0,↓,50
spike_rms,5.0303364668891,9.654934796969599,0.0,1.0,↑,50
spike_line_length,2.3965,3.707,0.0,1.0,↑,50
spike_spectral_entropy,4.347015058646559,4.3146681532819455,0.449007,-0.125,↓,50
spike_low_power_rel,0.14760932008835373,0.026174185665556314,0.0,-0.98,↓,50
spike_mid_power_rel,0.42014091187377484,0.5298220472204802,0.0,0.929,↑,50
spike_high_power_rel,0.41898886539741986,0.4436481013760696,0.056739,0.31,↑,50
