rms,line_length,delta_rel,theta_rel,alpha_rel,beta_rel,spectral_entropy,mean_ch_corr,subject,condition
9.075984360869957e-21,8.336382220330055e-21,4.582347415703002e-30,4.912742526236797e-30,6.080806530475769e-30,1.9165531247445355e-29,5.609665120735949e-27,0.0008404313507314311,sub-001,EO
8.592336835025546e-21,8.172656810723786e-21,3.18373528572823e-30,3.306061679044996e-30,4.825644851661728e-30,1.70488326214598e-29,4.214398946685157e-27,0.0011954649826600996,sub-001,EC
5.178504085268936e-21,4.3003424326376176e-21,8.178948359545617e-31,1.1343413780279241e-30,1.2243226672112622e-30,5.346086212029837e-30,1.378761617015666e-27,0.0058034605272017925,sub-002,EO
4.3884243862470614e-21,4.186677045891939e-21,7.155546709780876e-31,1.0804575468218176e-30,1.2264609998314634e-30,3.834239614663179e-30,1.0403719568437946e-27,-0.0008918467204726366,sub-002,EC
1.1897282461299848e-20,9.743980303733646e-21,5.28967578368682e-30,4.929720214868432e-30,1.0309832244863446e-29,3.1787567705138825e-29,7.72196615140022e-27,0.01970742835129994,sub-003,EO
8.021910347815769e-21,7.673462099842041e-21,2.830204646629898e-30,3.461866736901893e-30,5.093596889742431e-30,1.4569083217870816e-29,3.760466539703681e-27,0.0018614480344536458,sub-003,EC
4.8195525146941114e-21,3.9340365920668284e-21,8.761004340777834e-31,1.0286286626491894e-30,1.111578080955703e-30,4.161726721942107e-30,1.1255717909180044e-27,0.044059247149537385,sub-004,EO
3.718719950398586e-21,3.6123633063155465e-21,5.265546293959204e-31,7.548340145515522e-31,9.409907272257175e-31,3.146012917766869e-30,7.913229603622403e-28,-0.003934438931592444,sub-004,EC
3.2294146846286424e-21,2.905284407320331e-21,3.8380096934298513e-31,4.360059788075019e-31,5.748339954499608e-31,2.012028146964536e-30,5.290646740140738e-28,0.0044182914049086626,sub-005,EO
2.633265076808953e-21,2.5486365250947906e-21,2.7473132308029353e-31,3.431446772962684e-31,4.571335779926778e-31,1.5050658767831468e-30,3.939344322753756e-28,0.0021632449785854773,sub-005,EC
5.340383908927065e-21,4.075098308406073e-21,9.428801596472301e-31,1.1001376701283677e-30,1.8523538136826236e-30,4.9165749618157984e-30,1.4541859783880911e-27,0.019376665406658448,sub-006,EO
2.6918237119858703e-21,2.5833584652824694e-21,2.807445849813795e-31,3.702768462433885e-31,3.8585074158412633e-31,1.5437408702976511e-30,3.9247281631110056e-28,-0.0023584166582491686,sub-006,EC
5.367674689891365e-21,4.516768036057523e-21,1.438048419475239e-30,1.6964074913707724e-30,1.669396762852801e-30,6.940740039511548e-30,1.8505426316564033e-27,0.006851144855970714,sub-007,EO
4.7184978123725284e-21,4.584433478115893e-21,8.699685688444987e-31,1.0616736765937124e-30,1.4316895136136042e-30,4.755472380096543e-30,1.1935165619480229e-27,0.0011334436579616325,sub-007,EC
6.0748095884438106e-21,4.8014982508882886e-21,1.321171508443216e-30,1.842566263181086e-30,3.242345301016374e-30,1.00176092366463e-29,2.287277700107618e-27,0.015067077788894342,sub-008,EO
6.0131996059786306e-21,5.432390972034015e-21,1.2003163656783495e-30,2.0372038644957948e-30,2.3803058923683595e-30,7.823509078494003e-30,1.9395703356475915e-27,0.004129206786720786,sub-008,EC
1.6609013497615706e-20,1.3722845539815713e-20,1.1780317849189447e-29,1.5791646538501214e-29,1.765704427376229e-29,5.960125037844642e-29,1.5100960193733178e-26,0.029818911383757637,sub-009,EO
6.480810063611825e-21,6.430912570366216e-21,1.391672469474283e-30,1.827982344747527e-30,2.766162754192824e-30,9.850085250844067e-30,2.389671743949565e-27,0.00406156810634409,sub-009,EC
9.375107041013724e-21,8.571384232356369e-21,4.0029505705815914e-30,5.238326992764219e-30,6.010860169051123e-30,2.7026294204758573e-29,6.068884195826057e-27,-0.0010192050039047613,sub-010,EO
1.0713223417631255e-20,1.0120277861410385e-20,4.00430819367522e-30,6.2035097491705784e-30,6.697517852903492e-30,2.246539851473674e-29,6.19859086658648e-27,-0.004134605988116417,sub-010,EC
