feature,median_S1,median_S2,p_value,effect_size,direction
meanE_rms,1.991160603208405,8.17579314145768,0.0,1.0,↑
meanE_line_length,0.004401290294996428,0.010452776564028644,0.0,1.0,↑
meanE_spectral_entropy,0.949186206162123,0.6881433318778474,0.0,-0.998,↓
meanE_low_power_rel,0.9999364944223154,0.9999789853849608,0.0,0.969,↑
meanE_mid_power_rel,6.24629834580697e-05,2.074193143700164e-05,0.0,-0.969,↓
meanE_high_power_rel,9.615769118546817e-07,2.3813620655538208e-07,0.0,-1.0,↓
spike_rms,5.0303364668891,9.654934796969599,0.0,1.0,↑
spike_line_length,2.3965,3.707,0.0,1.0,↑
spike_spectral_entropy,4.347015058646559,4.314668153281946,0.449,-0.125,↓
spike_low_power_rel,0.1476093200883537,0.026174185665556314,0.0,-0.98,↓
spike_mid_power_rel,0.42014091187377484,0.5298220472204802,0.0,0.929,↑
spike_high_power_rel,0.41898886539741986,0.4436481013760696,0.0567,0.31,↑
