subject,status,n_channels,n_epochs_eo
sub-001,OK,64,15
sub-002,OK,64,15
sub-003,OK,64,15
sub-004,OK,64,15
sub-005,OK,64,15
sub-006,OK,64,15
sub-007,OK,64,15
sub-008,OK,64,15
sub-009,OK,64,15
sub-010,OK,64,15
sub-011,OK,64,15
sub-012,OK,64,15
sub-013,OK,64,15
sub-014,OK,64,15
sub-015,OK,64,15
sub-016,OK,64,15
sub-017,OK,64,15
sub-018,OK,64,15
sub-019,OK,64,15
sub-020,OK,64,15
sub-021,OK,64,15
sub-022,OK,64,15
sub-023,OK,64,15
sub-024,OK,64,15
sub-025,OK,64,15
sub-026,OK,64,15
sub-027,OK,64,15
sub-028,OK,64,15
sub-029,OK,64,15
sub-030,OK,64,15
sub-031,OK,64,15
sub-032,OK,64,15
sub-033,OK,64,15
sub-034,OK,64,15
sub-035,OK,64,15
sub-036,OK,64,15
sub-037,OK,64,15
sub-038,OK,64,15
sub-039,OK,64,15
sub-040,OK,64,15
sub-041,OK,64,15
sub-042,OK,64,15
sub-043,OK,64,15
sub-044,OK,64,15
sub-045,OK,64,15
sub-046,OK,64,15
sub-047,OK,64,15
sub-048,OK,64,15
sub-049,OK,64,15
sub-050,OK,64,15
sub-051,OK,64,15
sub-052,OK,64,15
sub-053,OK,64,15
sub-054,OK,64,15
sub-055,OK,64,15
sub-056,OK,64,15
sub-057,OK,64,15
sub-058,OK,64,15
sub-059,OK,64,15
sub-060,OK,64,15
sub-061,OK,64,15
sub-062,OK,64,15
sub-063,OK,64,15
sub-064,OK,64,15
sub-065,OK,64,15
sub-066,OK,64,15
sub-067,OK,64,15
sub-068,OK,64,15
sub-069,OK,64,15
sub-070,OK,64,15
sub-071,OK,64,15
sub-072,OK,64,15
sub-073,OK,64,15
sub-074,OK,64,15
sub-075,OK,64,15
sub-076,OK,64,15
sub-077,OK,64,15
sub-078,OK,64,15
sub-079,OK,64,15
sub-080,OK,64,15
sub-081,OK,64,15
sub-082,OK,64,15
sub-083,OK,64,15
sub-084,OK,64,15
sub-085,OK,64,15
sub-086,OK,64,15
sub-087,OK,64,15
sub-088,OK,64,15
sub-089,OK,64,15
sub-090,OK,64,15
sub-091,OK,64,15
sub-092,OK,64,15
sub-093,OK,64,15
sub-094,OK,64,15
sub-095,OK,64,15
sub-096,OK,64,15
sub-097,OK,64,15
sub-098,OK,64,15
sub-099,OK,64,15
sub-100,OK,64,15
