[step],FIXED-W,SEED,chain-speed,chain-mean-delta,chain-complete?
200,0.5,1,-1,-1,False
200,0.5,2,-1,-1,False
200,0.5,3,-1,-1,False
200,0.5,4,-1,-1,False
200,0.5,5,-1,-1,False
200,0.5,6,-1,-1,False
200,0.5,7,-1,-1,False
200,0.5,8,-1,-1,False
200,0.5,9,-1,-1,False
200,0.5,10,-1,-1,False
200,0.5,11,-1,-1,False
200,0.5,12,-1,-1,False
200,0.5,13,-1,-1,False
200,0.5,14,-1,-1,False
200,0.5,15,-1,-1,False
200,0.5,16,-1,-1,False
200,0.5,17,-1,-1,False
200,0.5,18,-1,-1,False
200,0.5,19,-1,-1,False
200,0.5,20,-1,-1,False
11,1.0,1,1,1,True
11,1.0,2,1,1,True
11,1.0,3,1,1,True
11,1.0,4,1,1,True
11,1.0,5,1,1,True
11,1.0,6,1,1,True
11,1.0,7,1,1,True
11,1.0,8,1,1,True
11,1.0,9,1,1,True
11,1.0,10,1,1,True
11,1.0,11,1,1,True
11,1.0,12,1,1,True
11,1.0,13,1,1,True
11,1.0,14,1,1,True
11,1.0,15,1,1,True
11,1.0,16,1,1,True
11,1.0,17,1,1,True
11,1.0,18,1,1,True
11,1.0,19,1,1,True
11,1.0,20,1,1,True
11,1.5,1,1,1,True
11,1.5,2,1,1,True
11,1.5,3,1,1,True
11,1.5,4,1,1,True
11,1.5,5,1,1,True
11,1.5,6,1,1,True
11,1.5,7,1,1,True
11,1.5,8,1,1,True
11,1.5,9,1,1,True
11,1.5,10,1,1,True
11,1.5,11,1,1,True
11,1.5,12,1,1,True
11,1.5,13,1,1,True
11,1.5,14,1,1,True
11,1.5,15,1,1,True
11,1.5,16,1,1,True
11,1.5,17,1,1,True
11,1.5,18,1,1,True
11,1.5,19,1,1,True
11,1.5,20,1,1,True
11,2.0,1,1,1,True
11,2.0,2,1,1,True
11,2.0,3,1,1,True
11,2.0,4,1,1,True
11,2.0,5,1,1,True
11,2.0,6,1,1,True
11,2.0,7,1,1,True
11,2.0,8,1,1,True
11,2.0,9,1,1,True
11,2.0,10,1,1,True
11,2.0,11,1,1,True
11,2.0,12,1,1,True
11,2.0,13,1,1,True
11,2.0,14,1,1,True
11,2.0,15,1,1,True
11,2.0,16,1,1,True
11,2.0,17,1,1,True
11,2.0,18,1,1,True
11,2.0,19,1,1,True
11,2.0,20,1,1,True
11,2.5,1,1,1,True
11,2.5,2,1,1,True
11,2.5,3,1,1,True
11,2.5,4,1,1,True
11,2.5,5,1,1,True
11,2.5,6,1,1,True
11,2.5,7,1,1,True
11,2.5,8,1,1,True
11,2.5,9,1,1,True
11,2.5,10,1,1,True
11,2.5,11,1,1,True
11,2.5,12,1,1,True
11,2.5,13,1,1,True
11,2.5,14,1,1,True
11,2.5,15,1,1,True
11,2.5,16,1,1,True
11,2.5,17,1,1,True
11,2.5,18,1,1,True
11,2.5,19,1,1,True
11,2.5,20,1,1,True
