[step],KAPPA-E,RHO,THRESHOLD,SEED,final-total-spikes,active-neuron-fraction,mean-weight,weight-sd,mean-firing-rate,synchrony-index
500,0.0,0.001,0.5,1,6756,1.0,0.07823513475389621,0.14397096301100185,0.09008,0.46850230516229613
500,0.0,0.001,0.5,2,6339,1.0,0.06902709069968839,0.10328459001285956,0.08452,0.42214638735455823
500,0.0,0.001,0.5,3,6808,1.0,0.08802861459272207,0.16565154080239403,0.09077333333333333,0.4897358819060036
500,0.0,0.001,0.5,4,6382,1.0,0.09025280597067531,0.14497251427932628,0.08509333333333334,0.3405463418522179
500,0.0,0.001,0.5,5,6581,1.0,0.11534922410288055,0.18401731577983427,0.08774666666666667,0.5204993061609772
500,0.0,0.001,0.5,6,6624,1.0,0.09777723825608378,0.1430860748379821,0.08832,0.4795834169158514
500,0.0,0.001,0.5,7,6702,1.0,0.07312389749958002,0.14692990734662786,0.08936,0.35600015917629313
500,0.0,0.001,0.5,8,6654,1.0,0.07598171362780484,0.13095069276298132,0.08872,0.4338530934038121
500,0.0,0.001,0.5,9,6741,1.0,0.09637567509793718,0.16368788521431832,0.08988,0.6078020035465582
500,0.0,0.001,0.5,10,6696,1.0,0.0868933312162326,0.15590851830414168,0.08928,0.3700227960739081
500,0.0,0.001,1.0,1,6652,1.0,0.07909181995335123,0.1234974787562308,0.08869333333333333,0.3608068007781608
500,0.0,0.001,1.0,2,5967,1.0,0.07386904051620202,0.09172615018675838,0.07956,0.4047207935341429
500,0.0,0.001,1.0,3,6533,1.0,0.07372071726073753,0.13047192347903502,0.08710666666666667,0.32291078700029946
500,0.0,0.001,1.0,4,5915,1.0,0.08150125397794376,0.11521155544774359,0.07886666666666667,0.4792339024335741
500,0.0,0.001,1.0,5,6296,1.0,0.10236150325690568,0.1554086543638364,0.08394666666666667,0.518594912480207
500,0.0,0.001,1.0,6,6359,1.0,0.09466332155282339,0.13128215027888,0.08478666666666666,0.49787976483213536
500,0.0,0.001,1.0,7,6536,1.0,0.06942917624804992,0.11865480990801672,0.08714666666666666,0.35769122012116067
500,0.0,0.001,1.0,8,6467,1.0,0.06844254264394362,0.10570981077442194,0.08622666666666666,0.33156068219059487
