[step],POp,SEED,global-min-isi,mean-min-isi,mean-firing-rate
500,5,1,6,6.0,0.16382666666666668
500,5,2,6,6.0,0.15542666666666666
500,5,3,6,6.0,0.16093333333333334
500,5,4,6,6.0,0.14685333333333334
500,5,5,6,6.0,0.15505333333333332
500,5,6,6,6.0,0.15984
500,5,7,6,6.0,0.16184
500,5,8,6,6.0,0.16225333333333333
500,5,9,6,6.0,0.163
500,5,10,6,6.0,0.16262666666666667
500,10,1,11,11.0,0.08869333333333333
500,10,2,11,11.0,0.07956
500,10,3,11,11.0,0.08710666666666667
500,10,4,11,11.0,0.07886666666666667
500,10,5,11,11.0,0.08394666666666667
500,10,6,11,11.0,0.08478666666666666
500,10,7,11,11.0,0.08714666666666666
500,10,8,11,11.0,0.08622666666666666
500,10,9,11,11.0,0.08873333333333333
500,10,10,11,11.0,0.08674666666666667
500,15,1,16,16.0,0.06032
500,15,2,16,16.0,0.054093333333333334
500,15,3,16,16.0,0.059533333333333334
500,15,4,16,16.0,0.05450666666666667
500,15,5,16,16.0,0.05672
500,15,6,16,16.0,0.057506666666666664
500,15,7,16,16.0,0.059706666666666665
500,15,8,16,16.0,0.05826666666666667
500,15,9,16,16.0,0.060386666666666665
500,15,10,16,16.0,0.05878666666666667
500,20,1,21,21.0,0.04528
500,20,2,21,21.006666666666668,0.04156
500,20,3,21,21.0,0.04529333333333333
500,20,4,21,21.0,0.04170666666666667
500,20,5,21,21.0,0.04356
500,20,6,21,21.0,0.043813333333333336
500,20,7,21,21.0,0.04526666666666666
500,20,8,21,21.0,0.044
500,20,9,21,21.0,0.04582666666666667
500,20,10,21,21.0,0.04482666666666667
500,25,1,26,26.0,0.0366
500,25,2,26,26.06,0.03321333333333333
500,25,3,26,26.0,0.03598666666666667
500,25,4,26,26.006666666666668,0.034666666666666665
500,25,5,26,26.013333333333332,0.03553333333333333
500,25,6,26,26.013333333333332,0.034986666666666666
500,25,7,26,26.0,0.036186666666666666
500,25,8,26,26.006666666666668,0.03552
500,25,9,26,26.0,0.03698666666666667
500,25,10,26,26.006666666666668,0.03629333333333333
